layer,rank_corr_lensA_lensB,auroc_lensA,auroc_lensB
20,nan,0.5,0.5075
22,nan,0.5,0.5
24,1.0,0.5025,0.5025
26,0.5177,0.3701,0.549
28,0.8568,0.2527,0.3088
30,0.9085,0.2325,0.2473
32,0.9425,0.5457,0.5431
34,0.8934,0.5883,0.5473
36,0.958,0.7204,0.7095
38,0.9827,0.8055,0.8404
