condition,name,n_attack,n_clean,attack_mean,attack_lo,attack_hi,clean_mean,clean_lo,clean_hi,auroc,auroc_lo,auroc_hi,clean_max,attacks_above_clean_max,spearman_success,spearman_lo,spearman_hi,success_rate,success_lo,success_hi
none,No defense,200,203,0.0587,0.0359,0.0863,0.0002,0.0002,0.0002,0.8055,0.7569,0.8484,0.0009,77,0.5044,0.3863,0.6164,0.2125,0.175,0.2512
ms_spotlight,Microsoft spotlighting,199,203,0.0094,0.0025,0.0204,0.0001,0.0001,0.0001,0.73,0.6741,0.7809,0.0003,63,0.2725,0.1319,0.3884,0.0239,0.0126,0.0377
lib_markdata,Library as shipped (marker between words),199,203,0.0024,0.001,0.0043,0.0003,0.0002,0.0005,0.6679,0.617,0.7176,0.0156,5,0.0348,-0.1128,0.1794,0.054,0.0389,0.0704
lib_base64,"Library, base64",200,203,0.0001,0.0001,0.0001,0.0,0.0,0.0,0.7079,0.6545,0.7586,0.0002,19,0.016,-0.1085,0.1465,0.0225,0.0125,0.0338
v2_uni_random_phi3,"Library fixed (short Unicode, Phi-3 boundaries)",200,203,0.0339,0.0181,0.0527,0.0001,0.0001,0.0001,0.7213,0.6666,0.7714,0.0008,63,0.3851,0.2515,0.5073,0.1037,0.0762,0.1338
