layer,told,neutral
18,0.0,0.0
20,0.0625,0.0
22,0.6875,0.0
24,1.0,0.0625
26,1.0,0.0625
28,1.0,0.0625
30,1.0,0.5
32,1.0,0.3125
34,1.0,0.25
36,1.0,0.1875
38,1.0,0.0
