measurement,name,auroc,auroc_lo,auroc_hi,spearman_success,spearman_lo,spearman_hi,threshold,n_above,n_below,rate_above,rate_above_lo,rate_above_hi,rate_below,rate_below_lo,rate_below_hi
model_output,The model's own output,0.8484,0.8073,0.8904,0.4487,0.3046,0.5643,0.0011,119,81,0.2784,0.2279,0.3288,0.1157,0.0741,0.162
lens_layer_30,"Lens, layer 30",0.2325,0.18,0.2856,0.019,-0.1401,0.1708,0.0085,27,173,0.5509,0.463,0.6389,0.1597,0.1264,0.1958
lens_layer_32,"Lens, layer 32",0.5457,0.4865,0.6035,0.0768,-0.0858,0.2424,0.119,30,170,0.4792,0.375,0.5833,0.1654,0.1294,0.2015
lens_layer_34,"Lens, layer 34",0.5883,0.5309,0.6471,0.2938,0.1414,0.4411,0.037,46,154,0.4375,0.3614,0.5136,0.1453,0.1096,0.1834
lens_layer_36,"Lens, layer 36",0.7204,0.6704,0.7718,0.3371,0.1846,0.4666,0.177,44,156,0.4403,0.3608,0.5227,0.1482,0.1122,0.1859
lens_layer_38,"Lens, layer 38",0.8055,0.7594,0.849,0.5044,0.3692,0.6185,0.0009,77,123,0.3555,0.289,0.4221,0.123,0.0874,0.1636
