signal,n_shows,rate_shows,shows_lo,shows_hi,n_not,rate_not,not_lo,not_hi,separates
turn_boundary,660,0.2965,0.2703,0.3225,3339,0.1584,0.149,0.168,yes
instruction_words,1145,0.1616,0.1449,0.179,2854,0.1891,0.1783,0.1999,no
